person,ref,issues
2492.8m1,> 1714,direction mismatch
2499.1m1,> 2485,direction mismatch
2525.6,<2906,direction mismatch
2589.0,< 2592.1,direction mismatch
2590.6m1,> 939,direction mismatch
2591.1m1,> 1941,direction mismatch
2626.0,< 2627.1,direction mismatch
2638.2m2,> 1810,direction mismatch
2659.s1,< 3942.5,direction mismatch
2671.s1,<3946,direction mismatch
2684.s3,<4152,direction mismatch
2685.2m1,> 581,direction mismatch
2695.s1,< 3736.1,direction mismatch
2787.0,< 2788.3,direction mismatch
2800.1m1,> 144,direction mismatch
2834.1m1,> 2343,direction mismatch
2844.s2,<4111,direction mismatch
2862.s1,<3920,direction mismatch
2870.s1,<2932,direction mismatch
2885.s1,< 4014.1,direction mismatch
2895.0,< 2901.2,direction mismatch
2918.0,< 2920.1,direction mismatch
2949.s1,< 3784.4,direction mismatch
2963.s1,<3946,direction mismatch
2972.2m1,> 612,direction mismatch
2996.s1,<3604,direction mismatch
3004.0,<3005,direction mismatch
3008.s2,<3516,direction mismatch
3024.s3,<3970,direction mismatch
3055.s1,< 3355.1,direction mismatch
3067.s1,< 4125.3,direction mismatch
3070.1m1,> 1503,direction mismatch
3072.1m1,> 404,direction mismatch
3081.0,< 3129.1,direction mismatch
3185.2m1,> 2926,direction mismatch
3193.s1,< 3703.1,direction mismatch
3199.4m1,> 814,direction mismatch
3202.2m1,> 2292,direction mismatch
3219.1m1,<3220,target family not found; direction mismatch
3227.0,< 3220.1,target family not found
3231.s1,< 3861.4,direction mismatch
3261.s1,< 3902.4,direction mismatch
3294.s1,< 3490.5,direction mismatch
3294.s2,<4112,direction mismatch
3339.1m1,> 542,direction mismatch
3350.1m1,> 451,direction mismatch
3363.10m1,> 2655,direction mismatch
3383.0,< 3371.2,target person not found
3400.0,< 3401.2,direction mismatch
3402.2m1,> 1095,direction mismatch
3403.s1,<3607,direction mismatch
3408.0,< 3409.2,direction mismatch
3432.s1,< 3602.3,direction mismatch
3435.s2,< 3608.1,direction mismatch
3439.s1,< 3614.5,direction mismatch
3472.0,< 3475.1,direction mismatch
3477.5m1,> 2548,direction mismatch
3477.6m1,> 2772,direction mismatch
3490.3m1,> 1728,direction mismatch
3526.0,< 3515.6,target person not found
3574.0,<3575,direction mismatch
3604.s1,> 2996,direction mismatch
3644.2m1,> 1753,direction mismatch
3672.1m1,< 3675,direction mismatch
3696.s2,<4109,direction mismatch
3709.4m2,> 3504,direction mismatch
3723.1m1,> 3721,direction mismatch
3758.0,< 3760.1,direction mismatch
3766.0,< 3767.1,direction mismatch
3859.s2,<4077,direction mismatch
3955.0,< 3957.1,direction mismatch
3984.0,< 3985.1,direction mismatch
4118.0,< 4124.3,direction mismatch
